rank,name,date,views,likes,dislikes,comments,channel,subscribers
1,Luis Fonsi - Despacito ft. Daddy Yankee,12 Jan 2017,7621391945,46525492,5187451,4135434,Luis Fonsi,3010000
2,Ed Sheeran - Shape of You (Official Music Video),30 Jan 2017,5521122795,28380211,1398565,1100325,Ed Sheeran,4990000
3,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,7 Apr 2015,5321366770,36232602,1020530,2136336,Wiz Khalifa,2530000
4,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,19 Nov 2014,4356819279,17708953,990534,577432,Mark Ronson,626000
5,PSY - GANGNAM STYLE(강남스타일) M/V,15 Jul 2012,4245527176,23110796,2879901,5289442,officialpsy,1520000
6,El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Music],5 Apr 2018,3693153611,14767020,5078200,657369,Ultra Music,2760000
7,Maroon 5 - Sugar (Official Music Video),14 Jan 2015,3586846995,14053949,576045,407163,Maroon 5,3510000
8,Justin Bieber - Sorry (PURPOSE : The Movement),22 Oct 2015,3483544738,14715169,1690513,861464,Justin Bieber,6609999
9,Katy Perry - Roar (Official),5 Sept 2013,3465117192,14188315,1023696,743767,Katy Perry,4179999
10,OneRepublic - Counting Stars (Official Music Video),31 May 2013,3439022951,14648119,447189,450590,OneRepublic,952999
